date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-07-25 00:00:00,2.8,0,7.8,,,308,20.1,,1009.4,
2018-07-26 00:00:00,2.5,-0.4,7.4,,,306,20.7,,,
2018-07-27 00:00:00,0.1,-3,7,,,321,7.1,,,
2018-07-28 00:00:00,2.6,-3,4,0,,291,26.8,,,
2018-07-29 00:00:00,0.6,-1.9,4.4,,,,,,,
2018-07-30 00:00:00,0.3,-2.1,3.7,,,267,25.1,,,
2018-07-31 00:00:00,3.2,-1.4,8,,,307,27.4,,994.2,
2018-08-01 00:00:00,3.9,1,8,,,291,31,,,
2018-08-02 00:00:00,3.6,2,7.6,,,338,20.6,,,
2018-08-03 00:00:00,3.2,0,5.8,,,307,38.2,,980.6,
2018-08-04 00:00:00,0.3,-3,5.1,,,285,31.1,,,
2018-08-05 00:00:00,-0.4,-4,4,,,312,14.1,,,
2018-08-06 00:00:00,0.4,-4.3,4.7,4.1,41,155,15.2,,,
2018-08-07 00:00:00,1.1,-0.1,3,4.1,,137,11.5,,,
2018-08-08 00:00:00,2.3,-0.4,5,0.5,10,4,19.9,,,
2018-08-09 00:00:00,4.8,0.8,5.4,0,,350,31.2,,1006.9,
2018-08-10 00:00:00,2.1,-2.6,7,,,266,8.7,,,
2018-08-11 00:00:00,0.4,-4,7,,,136,10.2,,,
2018-08-12 00:00:00,3.4,-3.9,7.3,0,,318,15,,1006.2,
2018-08-13 00:00:00,2.5,-0.5,7.6,,,297,14.4,,,
2018-08-14 00:00:00,3.3,-0.2,9,0,,320,27,,,
2018-08-15 00:00:00,3.2,0,9.4,0,,,10,,,
2018-08-16 00:00:00,3.2,0,8,2,,289,20.8,,,
2018-08-17 00:00:00,3.6,0,7.5,0,,305,37.3,,,
2018-08-18 00:00:00,1,-2,6.2,0.5,10,280,23,,,
2018-08-19 00:00:00,5.6,-2.1,10,0,,305,48,,,
2018-08-20 00:00:00,7.3,3.5,10.2,,,307,42.2,,,
2018-08-21 00:00:00,7,2,11,,,294,27,,,
2018-08-22 00:00:00,4.4,2,11.1,2,,77,22.6,,,
2018-08-23 00:00:00,3.9,2,7,1,,270,33.2,,,
2018-08-24 00:00:00,2.7,-0.6,7,0,,308,29.8,,,
2018-08-25 00:00:00,4.7,1.9,8,,,288,27.7,,,
2018-08-26 00:00:00,1.7,-3.3,8,0,,168,11.5,,994.8,
2018-08-27 00:00:00,2.6,-0.3,6.2,5.1,,302,22,,,
2018-08-28 00:00:00,1.4,-0.2,6.3,2,,295,31.7,,,
2018-08-29 00:00:00,1.8,-0.6,4,0,,261,37.9,,,
2018-08-30 00:00:00,2.3,-2,10,0,,257,21.2,,1014.8,
