Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),date,tavg,tmin,tmax,wdir,wspd,wspd_m_s,riesgo_score,riesgo_operativo,viento_oeste
2018-03-29,1785.9255462918,7.950028998984207,1821.886947568365,47.72871720790856,2018-03-29,5.9,1.0,11.0,315.0,37.1,10.305555555555555,6.731128510501636,Bajo,0
2018-03-31,2066.2847736146696,10.560129715336666,2170.322172657661,194.69494989183164,2018-03-31,7.9,4.0,14.0,291.0,34.9,9.694444444444445,7.874966718090889,Bajo,0
2018-04-01,2886.697245703801,15.66581860515802,3295.837355614793,213.4269793828324,2018-04-01,10.9,9.0,14.0,288.0,26.9,7.472222222222221,9.993935607539255,Bajo,0
2018-04-04,15.956441736304653,2.4239144737903846,30.466163072397823,109.30911195694958,2018-04-04,4.9,1.0,9.0,89.0,24.2,6.722222222222221,2.698793128718675,Bajo,0
2018-04-05,10.812398397260218,2.8316696061649207,171.638133474579,167.97880615790655,2018-04-05,5.6,1.0,9.0,235.0,25.2,7.0,2.9990017636989523,Bajo,0
2018-04-06,1108.6795291834394,5.825457440896149,1270.0575579162594,65.73474620448211,2018-04-06,3.8,-1.0,8.0,276.0,24.2,6.722222222222221,4.939718908982133,Bajo,0
2018-04-08,1211.052833827337,7.129559948212553,1385.4911254594413,61.348279794057134,2018-04-08,1.6,-4.0,8.0,285.0,21.2,5.888888888888888,5.85551374670531,Bajo,0
2018-04-09,417.1528335635853,5.025152001943848,505.8822330162197,80.01739989386651,2018-04-09,8.6,7.0,11.0,322.0,29.0,8.055555555555555,3.92620231227742,Bajo,0
2018-04-10,61.2011817399825,2.807008155932025,88.42252005239597,99.51466752423164,2018-04-10,5.9,1.0,11.0,306.0,22.1,6.138888888888889,2.8119826713369926,Bajo,0
2018-04-11,16.029824301186505,2.5659377798438023,30.54827736705268,229.9721910158789,2018-04-11,2.3,-1.0,9.0,271.0,23.3,6.472222222222222,2.934007112350726,Bajo,1
2018-04-12,10.045927266279833,2.009021751168697,16.91599879877207,142.95499068746938,2018-04-12,5.8,2.0,12.0,266.0,29.0,8.055555555555555,2.616524161812329,Bajo,0
2018-04-13,37.942496202058194,2.6018595558901585,62.97555993419197,92.20615115272798,2018-04-13,7.5,3.0,12.0,333.0,18.5,5.138888888888888,2.2888935113118727,Bajo,0
2018-04-14,1291.1358108487384,7.153366000288044,1393.9428402159892,62.34423363208766,2018-04-14,6.9,2.0,12.0,309.0,13.5,3.75,4.842019600172827,Bajo,0
2018-04-15,2944.4551232655817,12.020121319426387,3104.075083082891,78.86587124400664,2018-04-15,9.6,6.0,14.0,298.0,19.8,5.5,7.712072791655832,Bajo,0
2018-04-17,252.58970350027045,4.403578897622911,380.51808396897553,112.60449829101545,2018-04-17,4.9,1.0,10.0,280.0,15.3,4.25,3.3921473385737464,Bajo,0
2018-04-18,1227.826341261465,7.8692531337340546,1511.2978776409675,45.08387041091914,2018-04-18,6.8,0.9,13.0,332.0,22.3,6.194444444444445,5.8704407691293214,Bajo,0
2018-04-19,2763.9015947977678,11.328966650697884,2981.809126233039,44.77300715446468,2018-04-19,6.1,1.8,13.0,306.0,26.4,7.333333333333333,8.084046657085398,Bajo,0
2018-04-20,1945.3552395357835,8.550833831230776,2042.085862252001,79.31940597626888,2018-04-20,5.9,-0.2,11.6,324.0,26.6,7.388888888888889,6.628278076516243,Bajo,0
2018-04-21,899.2089961369819,6.490129833420111,961.2252948900782,41.29668787452904,2018-04-21,5.2,0.8,9.8,322.0,28.6,7.944444444444445,5.402966788940955,Bajo,0
2018-04-22,75.88680035372566,2.3152158338990443,98.2195364498801,117.63910148209976,2018-04-22,3.2,-0.5,9.8,294.0,31.5,8.75,3.189129500339426,Bajo,0
2018-04-23,251.27843001815967,4.303034091161352,330.5365443173298,164.20656742134827,2018-04-23,4.3,0.0,10.0,296.0,32.9,9.138888888888888,4.409598232474588,Bajo,0
2018-04-24,162.4995765565996,4.030880490938817,216.80385691823847,69.08958819177406,2018-04-24,6.8,2.8,11.8,311.0,28.4,7.888888888888888,3.716306072341068,Bajo,0
2018-04-25,179.10381885204032,3.891125781668552,236.738533300162,49.20760955413178,2018-04-25,6.8,3.8,11.8,256.0,15.1,4.194444444444445,2.7935643578900202,Bajo,0
2018-04-26,440.2405634654888,5.17869646267758,520.9251412393003,96.915118575096,2018-04-26,2.8,0.0,9.4,145.0,24.7,6.861111111111111,4.4794400998287704,Bajo,0
2018-04-27,1441.2968468036902,7.886668776472387,1607.3191036642056,85.0237035403648,2018-04-27,1.8,-2.0,5.0,210.0,14.2,3.944444444444444,5.720890154772321,Bajo,0
2018-04-28,2771.0785942077614,11.54485692580537,3076.929655697474,68.74084456761673,2018-04-28,0.4,-5.0,7.3,283.0,21.8,6.055555555555555,8.638025266594333,Bajo,0
2018-04-29,920.7083336561902,6.29790089320804,1179.7605975210818,98.38299560546854,2018-04-29,5.2,-3.3,8.9,266.0,32.4,9.0,5.908740535924824,Bajo,0
2018-04-30,229.0744364228509,4.594740005830919,346.26782166602766,105.0641496438118,2018-04-30,4.1,-2.9,9.0,305.0,22.3,6.194444444444445,4.28573289238744,Bajo,0
2018-05-01,39.15689854944738,3.0594400502741284,66.93251834782991,255.85545253753617,2018-05-01,3.1,-3.0,10.2,302.0,16.2,4.5,3.035664030164477,Bajo,1
2018-05-02,46.45532611752617,2.7333869358731597,73.09243637228909,151.5563739997642,2018-05-02,3.9,-3.0,11.0,311.0,16.6,4.611111111111112,2.8622543837461185,Bajo,0
2018-05-03,235.0402079751297,4.68170625219742,371.8415538729644,80.71007410685212,2018-05-03,4.8,0.8,11.0,257.0,23.2,6.444444444444444,4.01791264020734,Bajo,0
2018-05-04,525.2783771627434,4.748778659963238,687.506691117221,112.1644592285154,2018-05-04,5.8,0.8,9.0,273.0,37.0,10.277777777777777,4.824822751533498,Bajo,0
2018-05-05,331.15905273661684,3.835065664309589,433.3672050232706,125.30747476820294,2018-05-05,6.1,4.0,10.0,281.0,34.2,9.5,3.8010393985857536,Bajo,0
2018-05-06,674.1791576047211,4.872488596787046,804.5821783794541,188.15280124048357,2018-05-06,4.8,2.0,10.0,299.0,19.7,5.472222222222222,3.817937602516672,Bajo,0
2018-05-07,575.7866390217088,5.383445127142795,717.1349460345996,242.64990506403936,2018-05-07,7.0,2.0,13.0,291.0,25.0,6.944444444444445,4.418955965174566,Bajo,1
2018-05-09,342.32406845937135,5.094212647941372,415.3978293881064,258.934847215811,2018-05-09,10.4,6.0,15.0,288.0,33.5,9.305555555555555,4.317638699875934,Bajo,1
2018-05-10,69.27644816703254,3.052517277085114,92.4252603383566,215.5514864126838,2018-05-10,4.1,1.0,12.7,169.0,22.4,6.222222222222221,2.9759548106955127,Bajo,0
2018-05-11,605.7299500372668,5.58941164778338,673.9202678732933,233.5469361088339,2018-05-11,2.7,1.0,6.0,146.0,12.6,3.5,3.953646988670028,Bajo,1
2018-05-12,2394.636395772295,9.810385068257627,2595.3325720257053,40.87176277902386,2018-05-12,1.0,-4.0,5.6,208.0,9.2,2.5555555555555554,6.797342152065688,Bajo,0
2018-05-13,529.0156311067847,5.107302340368422,605.3483203487954,94.77075831757638,2018-05-13,-3.6,-8.0,4.9,231.0,10.0,2.7777777777777777,4.419936959776608,Bajo,0
